Patch_ID,Sheet,Cell_or_Range,Current_Value_or_Formula,Proposed_Value_or_Formula,Change_Type,Source_Path_or_URL,Source_Hash,Source_Page_or_Image,Exact_Excerpt,Confidence,Formula_Impact,Reconciliation_Impact,Address_Type,Reason,Risk,Decision
P-073,Title,Title!164 — Assumptions & Notes cell,Vested: MD 1090/94; EST.\*,Vested: MD 1090/94; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-074,Title,Title!165 — Assumptions & Notes cell,Vested: MD 85/364; EST.\*,Vested: MD 85/364; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-075,Title,Title!166 — Assumptions & Notes cell,Vested: ORDER 311/817-828; EST.\*,Vested: ORDER 311/817-828; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-076,Title,Title!167 — Assumptions & Notes cell,Vested: MD 85/366; EST.\*,Vested: MD 85/366; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-077,Title,Title!168 — Assumptions & Notes cell,Vested: MD 88/172; EST.\*,Vested: MD 88/172; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-078,Title,Title!169 — Assumptions & Notes cell,Vested: MD 1063/164; EST.\*,Vested: MD 1063/164; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-079,Title,Title!170 — Assumptions & Notes cell,Vested: MD 1423/148; EST.\*,Vested: MD 1423/148; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-080,Title,Title!171 — Assumptions & Notes cell,Vested: ORDER 311/817-828; EST.\*,Vested: ORDER 311/817-828; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-081,Title,Title!172 — Assumptions & Notes cell,Vested: MD 89/87; EST.\*,Vested: MD 89/87; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-082,Title,Title!173 — Assumptions & Notes cell,Vested: MD 1063/164; EST.\*,Vested: MD 1063/164; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-083,Title,Title!174 — Assumptions & Notes cell,Vested: MD 89/422; EST.\*,Vested: MD 89/422; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-084,Title,Title!175 — Assumptions & Notes cell,Vested: MD 1090/95 (face stamp; index reads 96); EST.\*,Vested: MD 1090/95 (face stamp; index reads 96); EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-085,Title,Title!176 — Assumptions & Notes cell,Vested: DECR 262/490-493 (P-71-473); EST.\*,Vested: DECR 262/490-493 (P-71-473); EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-086,Title,Title!182 — Assumptions & Notes cell,Vested: MD 81/194; EST.\*,Vested: MD 81/194; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 7",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-087,Title,Title!184 — Assumptions & Notes cell,Vested: MD 92/115; EST.\*,Vested: MD 92/115; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 7",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-088,Title,Title!72 — Address cell,"Wichita Falls, Texas (city per 92/47)","Wichita Falls, Texas (city per 92/47) — Historic recital address (MD 92/47); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",Vested: MD 92/47; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-089,Title,Title!85 — Address cell,"407 N. Broadway, Sayre, Oklahoma (1947 lease recital","407 N. Broadway, Sayre, Oklahoma (1947 lease recital — Historic recital address (STIPULATION (RECORDED QUANTUM) 153/161-162); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Vested: STIPULATION (RECORDED QUANTUM) 153/161-162; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-090,Title,Title!89 — Address cell,"P.O. Box 1888, Tulsa, Oklahoma","P.O. Box 1888, Tulsa, Oklahoma — Historic recital address (DECR 312/700-704); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Vested: DECR 312/700-704; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-091,Title,Title!90 — Address cell,"804 World Building, Tulsa, Oklahoma","804 World Building, Tulsa, Oklahoma — Historic recital address (MD 89/424); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Vested: MD 89/424; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-092,Title,Title!94 — Address cell,"Hobbs, New Mexico (city per 89/428 and the 1977 leas","Hobbs, New Mexico (city per 89/428 and the 1977 leas — Historic recital address (MD 89/428); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Vested: MD 89/428; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-093,Title,Title!95 — Address cell,"70 Pine Street, New York City, New York","70 Pine Street, New York City, New York — Historic recital address (MD 89/426); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Vested: MD 89/426; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-094,Title,Title!99 — Address cell,"310 South Michigan Ave., Chicago, Illinois","310 South Michigan Ave., Chicago, Illinois — Historic recital address (MD 88/172); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Vested: MD 88/172; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-095,Title,Title!101 — Address cell,"Oil Capital Building, Tulsa, Oklahoma","Oil Capital Building, Tulsa, Oklahoma — Historic recital address (MD 89/87); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Vested: MD 89/87; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-096,Title,Title!102 — Address cell,"27 Duryea Road, Upper Montclair, New Jersey","27 Duryea Road, Upper Montclair, New Jersey — Historic recital address (MD 89/422); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Vested: MD 89/422; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-097,Title,Title!113 — Address cell,"Rt. 2, Sayre, Oklahoma","Rt. 2, Sayre, Oklahoma — Historic recital address (DECR P-76-78, pages 349-350 (images 1546-1550)); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 3","Vested: DECR P-76-78, pages 349-350 (images 1546-1550); EST.\*",HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-098,Title,Title!114 — Address cell,"500 S. Elm, Erick, Oklahoma","500 S. Elm, Erick, Oklahoma — Historic recital address (DECR P-76-78, pages 349-350 (images 1546-1550)); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 3","Vested: DECR P-76-78, pages 349-350 (images 1546-1550); EST.\*",HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-099,Title,Title!122 — Address cell,"407 N. Broadway, Sayre, Oklahoma (1947 lease recital","407 N. Broadway, Sayre, Oklahoma (1947 lease recital — Historic recital address (STIPULATION (RECORDED QUANTUM) 153/161-162); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Vested: STIPULATION (RECORDED QUANTUM) 153/161-162; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
